RK,Team,Points
1,Brazil,1832.69
2,Belgium,1827
3,France,1789.85
4,Argentina,1765.13
5,England,1761.71
6,Italy,1723.31
7,Spain,1709.19
8,Portugal,1674.78
9,Mexico,1658.82
10,Netherlands,1658.66
11,Denmark,1653.6
12,Germany,1650.53
13,Uruguay,1635.73
14,Switzerland,1635.32
15,USA,1633.72
16,Croatia,1621.11
17,Colombia,1600.52
18,Wales,1588.08
19,Sweden,1584.77
20,Senegal,1584.16
21,IR Iran,1564.49
22,Peru,1562.32
23,Japan,1553.44
24,Morocco,1551.88
25,Serbia,1547.53
26,Poland,1544.2
27,Ukraine,1535.08
28,Chile,1526.4
29,South Korea,1519.54
30,Nigeria,1504.01
31,Costa Rica,1503.09
32,Egypt,1500.67
33,Czech Republic,1500.62
34,Austria,1500.37
35,Tunisia,1499.8
36,Russia,1493.42
37,Cameroon,1480.48
38,Canada,1479
39,Scotland,1472.66
40,Hungary,1466.08
41,Norway,1463.5
42,Australia,1462.29
43,Turkey,1461.81
44,Algeria,1461.26
45,Slovakia,1454.98
46,Ecuador,1452.63
47,Republic of Ireland,1449.48
48,Romania,1446.54
49,Saudi Arabia,1444.69
50,Paraguay,1443.3
51,Qatar,1441.41
52,Mali,1436.62
53,Côte d'Ivoire,1435.28
54,Northern Ireland,1423.55
55,Greece,1421.43
56,Burkina Faso,1409.61
57,Finland,1406.87
58,Venezuela,1398.14
59,Bosnia and Herzegovina,1388.63
60,Ghana,1387.36
61,Panama,1382.79
62,North Macedonia,1381.07
63,Iceland,1380.85
64,Jamaica,1378.75
65,Slovenia,1378.23
66,Albania,1371.86
67,Congo DR,1365.07
68,United Arab Emirates,1356.99
69,South Africa,1356.01
70,Montenegro,1342.79
71,Cabo Verde,1339.5
72,Iraq,1338.91
73,Bulgaria,1338.78
74,El Salvador,1331.65
75,Oman,1324.16
76,Israel,1305.92
77,China PR,1304.02
78,Bolivia,1298.81
79,Curaçao,1298.39
80,Guinea,1293.21
81,Gabon,1290.65
82,Honduras,1289.47
83,Uzbekistan,1286.55
84,Benin,1284.13
85,Georgia,1276.31
86,Uganda,1275.5
87,Zambia,1267.04
88,Syria,1265.03
89,Bahrain,1262.55
90,Haiti,1261.86
91,Jordan,1259.84
92,Armenia,1245.13
93,Belarus,1243.2
94,Luxembourg,1229.6
95,Kyrgyz Republic,1218.48
96,Vietnam,1215.38
97,Lebanon,1211.71
98,Congo,1211.33
99,Equatorial Guinea,1210.07
100,Palestine,1208.9
101,New Zealand,1206.07
102,Madagascar,1205.61
103,Trinidad and Tobago,1203.78
104,Kenya,1202.26
105,Cyprus,1186.09
106,India,1174.04
107,Kosovo,1173.9
108,Sierra Leone,1173.89
109,Korea DPR,1169.96
110,Estonia,1169.06
111,Thailand,1167.68
112,Namibia,1162.93
113,Mauritania,1162.48
114,Tajikistan,1159.42
115,Guinea-Bissau,1158.62
116,Niger,1153.23
117,Libya,1149.63
118,Guatemala,1147.85
119,Mozambique,1146.09
120,Malawi,1145.08
121,Togo,1140
122,Zimbabwe,1138.56
123,Gambia,1138.19
124,Faroe Islands,1137.4
125,Kazakhstan,1134.77
126,Angola,1131.72
127,Antigua and Barbuda,1131.07
128,Comoros,1130.77
129,Azerbaijan,1127.05
130,Tanzania,1123.79
131,Central African Republic,1122.08
132,Sudan,1118.4
133,Philippines,1117.89
134,Turkmenistan,1117.6
135,Latvia,1105.02
136,Rwanda,1097.16
137,Solomon Islands,1092.56
138,Lithuania,1092.04
139,Burundi,1080.62
140,Ethiopia,1076.67
141,Suriname,1073.39
142,St. Kitts and Nevis,1072.3
143,Eswatini,1070.46
144,Nicaragua,1062.21
145,Lesotho,1061.72
146,Kuwait,1059.94
147,Hong Kong,1053.39
148,Botswana,1051.59
149,Liberia,1050.5
150,Afghanistan,1049.77
151,Yemen,1046.26
152,Myanmar,1044.56
153,Andorra,1040.13
154,Malaysia,1035.06
155,Dominican Republic,1029.42
156,Maldives,1025.5
157,Chinese Taipei,1017.78
158,Singapore,1012.27
159,Indonesia,1001.61
160,New Caledonia,999.7
161,South Sudan,998.45
162,Papua New Guinea,997.6
163,Barbados,995.94
164,Tahiti,995.11
165,Fiji,993.37
166,Vanuatu,990.55
167,Bermuda,982.43
168,Nepal,978.86
169,Malta,971.56
170,Grenada,968.49
171,Cambodia,966.61
172,Puerto Rico,962.77
173,Belize,962.21
174,Guyana,961.07
175,St. Vincent and the Grenadines,960.71
176,St. Lucia,953.45
177,Cuba,950.91
178,Montserrat,950.71
179,Mauritius,940.47
180,Moldova,932.79
181,Chad,931.98
182,Macau,922.1
183,São Tomé and Príncipe,917.62
184,Dominica,916.72
185,Laos,914.66
186,Mongolia,911.49
187,Bhutan,910.96
188,Bangladesh,903.98
189,American Samoa,900.27
190,Cook Islands,899.33
191,Brunei Darussalam,898.96
192,Liechtenstein,895.08
193,Samoa,894.26
194,Djibouti,875.98
195,Cayman Islands,873.64
196,Seychelles,866.94
197,Pakistan,866.81
198,Timor-Leste,865.47
199,Tonga,861.81
200,Aruba,859.97
201,Bahamas,858.5
202,Somalia,857.39
203,Gibraltar,857.2
204,Eritrea,855.56
205,Sri Lanka,842.93
206,Turks and Caicos Islands,839.84
207,Guam,838.33
208,US Virgin Islands,816.13
209,British Virgin Islands,812.94
210,Anguilla,792.34
211,San Marino,776.97
